网络架构探索 - 对比表
========================================================================================================================
排名     网络结构                           像素     层数     神经元      参数量        验证损失        
------------------------------------------------------------------------------------------------------------------------
1      24 -> 8 -> 8 -> 1              8      2      8        281        0.019329    
2      24 -> 16 -> 16 -> 1            8      2      16       689        0.026090    
3      12 -> 8 -> 1                   4      1      8        113        0.027257    
4      12 -> 8 -> 8 -> 1              4      2      8        185        0.027637    
5      12 -> 16 -> 16 -> 1            4      2      16       497        0.032798    
6      12 -> 16 -> 1                  4      1      16       225        0.037563    
7      24 -> 16 -> 1                  8      1      16       417        0.049240    
8      24 -> 8 -> 1                   8      1      8        209        0.062272    
9      24 -> 1                        8      0      8        25         0.064122    
10     12 -> 1                        4      0      8        13         0.074635    
11     12 -> 1                        4      0      16       13         0.105718    
12     24 -> 1                        8      0      16       25         0.114872    
